Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating,Day,Month,Year
A,Yangon,0,0,Health and beauty,0.7181601426065471,0.5099302037590051,0.9196068488798472,0.919606848879847,2,522.83,4.761904762,26.1415,1.238443414813962,5,1,2019
C,Naypyitaw,1,0,Electronic accessories,-1.5253031933114591,-0.1745398684007332,-0.9877295584981624,-0.9877295584981625,0,76.4,4.761904762,3.82,1.5295268103890953,8,3,2019
A,Yangon,1,1,Home and lifestyle,-0.3527811165524271,0.5099302037590051,0.07144605414678146,0.07144605414678158,1,324.31,4.761904762,16.2155,0.24875986985850929,3,3,2019
A,Yangon,0,1,Health and beauty,0.0962136497169736,0.8521652398388743,0.6757798462835544,0.6757798462835541,2,465.76,4.761904762,23.288,0.8309266610087758,27,1,2019
A,Yangon,1,1,Sports and travel,1.1569590647302173,0.5099302037590051,1.2671254819827464,1.2671254819827462,2,604.17,4.761904762,30.2085,-0.9737903915570507,8,2,2019
C,Naypyitaw,1,1,Electronic accessories,1.1222176698632829,0.5099302037590051,1.239611097950503,1.2396110979505028,2,597.73,4.761904762,29.8865,-1.6723905409373707,25,3,2019
A,Yangon,0,0,Electronic accessories,0.4972501861157152,0.16769516767913598,0.45053787016866814,0.450537870168668,2,413.04,4.761904762,20.652,-0.6827069959819174,25,2,2019
C,Naypyitaw,1,0,Home and lifestyle,0.675488646737378,1.5366353119986127,1.8286496269140724,1.828649626914072,2,735.6,4.761904762,36.78,0.598059944548669,24,2,2019
A,Yangon,0,0,Health and beauty,-0.7330483408024578,-1.2012449766403408,-1.004306547635601,-1.0043065476356008,1,72.52,4.761904762,3.626,0.13232651162845588,10,1,2019
B,Mandalay,0,0,Food and beverages,-0.03142321403328479,-0.8590099405604715,-0.6112439186035535,-0.6112439186035536,1,164.52,4.761904762,8.226,-0.6244903168668905,20,2,2019
B,Mandalay,0,0,Fashion accessories,-1.5555131018914021,-0.5167749044806024,-1.0666838778950347,-1.0666838778950347,2,57.92,4.761904762,2.896,-1.439523824477264,6,2,2019
B,Mandalay,0,1,Electronic accessories,-1.1389939873454398,-0.5167749044806024,-0.8781847127548831,-0.8781847127548832,0,102.04,4.761904762,5.102,-0.10054020483165095,9,3,2019
A,Yangon,1,0,Electronic accessories,-0.3293684374029712,-0.1745398684007332,-0.31119187037615487,-0.3111918703761549,2,234.75,4.761904762,11.7375,0.07410983251342891,12,2,2019
A,Yangon,1,1,Food and beverages,-0.4713550077287028,1.5366353119986127,0.5311157091202376,0.5311157091202376,2,431.9,4.761904762,21.595,0.7144933027787219,7,2,2019
A,Yangon,1,0,Health and beauty,0.5931666458570335,1.5366353119986127,1.735510873513,1.735510873513,0,713.8,4.761904762,35.69,-0.7409236750969439,29,3,2019
B,Mandalay,0,0,Sports and travel,1.4367783429519378,0.16769516767913598,1.0883247099719726,1.0883247099719726,0,562.32,4.761904762,28.116,-1.439523824477264,15,1,2019
A,Yangon,0,0,Health and beauty,0.5006488008309589,0.5099302037590051,0.7473428792866715,0.7473428792866714,1,482.51,4.761904762,24.1255,-1.3813071453622374,11,3,2019
